value,footprint,quantity,references
24LC128,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000540> >,1,['U9']
TPS7A20_3V3A,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000570> >,1,['U8']
OPA2376,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000510> >,1,['U7']
OPA2376,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000540> >,1,['U6']
OPA2376,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000570> >,1,['U5']
QCA7000,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000510> >,1,['U4']
W5500,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000540> >,1,['U3']
TCAN330,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000570> >,1,['U2']
STM32G474RETx,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000510> >,1,['U1']
MountingHole_3.2mm,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000540> >,2,"['MH', 'MH']"
MountingHole_3.2mm,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000570> >,1,['MH']
MountingHole_3.2mm,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x177000510> >,1,['MH']
